Names,Birthnums
Mary,968
Jes,155
Jes,77
Bob,578
Jes,973
Jes,124
Jes,155
Mary,403
Mary,199
Mary,191
Jhon,769
Bob,88
Bob,43
Mary,393
Mary,164
Jhon,45
Mel,148
Mary,609
Mel,134
Jhon,726
Jhon,106
Mel,355
Jes,774
Jhon,214
Jes,732
Mary,362
Mary,682
Jhon,141
Jes,433
Bob,892
Jhon,328
Jes,151
Jes,737
Jhon,200
Bob,626
Mel,679
Jes,812
Mel,481
Mel,723
Mary,98
Jes,76
Mel,911
Mel,948
Mel,698
Mel,539
Bob,806
Jhon,885
Jes,785
Jes,750
Bob,233
Jhon,442
Jhon,170
Jes,363
Bob,913
Bob,186
Jhon,510
Jhon,998
Jhon,12
Mel,804
Bob,705
Mel,900
Mel,727
Jes,643
Mary,34
Jhon,580
Jhon,287
Bob,382
Jhon,5
Mary,204
Bob,392
Jhon,982
Mel,809
Jhon,62
Jhon,220
Bob,458
Mary,738
Bob,502
Jes,352
Mel,956
Jes,326
Bob,791
Mel,724
Bob,414
Jhon,51
Jes,295
Jes,463
Jhon,922
Bob,693
Bob,353
Jhon,378
Bob,836
Jes,10
Mel,279
Jhon,778
Jes,10
Mel,370
Jes,739
Jes,682
Mary,469
Mel,324
Jhon,612
Mary,721
Jhon,410
Bob,474
Mary,294
Jes,128
Jes,622
Mary,588
Mary,708
Jes,286
Jhon,740
Mel,112
Jes,128
Bob,195
Mel,458
Jes,828
Jhon,576
Jhon,726
Mel,744
Jes,449
Mel,814
Jes,678
Bob,327
Mel,837
Jes,904
Jes,592
Bob,923
Bob,245
Mel,476
Mel,120
Mary,656
Jhon,511
Mary,398
Mary,716
Jes,657
Mary,358
Mary,510
Jhon,129
Mel,944
Jhon,490
Jhon,811
Mel,734
Mel,371
Jhon,37
Jes,900
Mel,723
Mel,274
Jhon,291
Jes,309
Jes,143
Mel,277
Mel,116
Mel,11
Bob,49
Jes,809
Jhon,28
Mel,407
Mary,937
Bob,781
Jes,236
Jhon,925
Bob,423
Mel,927
Mel,925
Bob,648
